id,title,authors,year,venue,publication_status,arxiv,doi,primary_url,domain,explicit_world_model,modeled_system,observation,state,state_type,action,transition,prediction_target,rollout_horizon,evaluation,dataset,downstream_purpose,strongest_contribution,limitation,relevance_to_MedicalWorldModel,rollout_mechanism,time_scale,uncertainty,planning,official_project_repository,read_depth,source_locator,version_note,verified_date,evidence_scope,metadata_verification
"G23","DreamDojo: A Generalist Robot World Model from Large-Scale Human Videos","Shenyuan Gao; William Liang; Kaiyuan Zheng; Ayaan Malik; Seonghyeon Ye; Sihyun Yu; Wei-Cheng Tseng; Yuzhu Dong; Kaichun Mo; Chen-Hsuan Lin; Qianli Ma; Seungjun Nah; Loic Magne; Jiannan Xiang; Yuqi Xie; Ruijie Zheng; Dantong Niu; You Liang Tan; K. R. Zentner; George Kurian; Suneel Indupuru; Pooya Jannaty; Jinwei Gu; Jun Zhang; Jitendra Malik; Pieter Abbeel; Ming-Yu Liu; Yuke Zhu; Joel Jang; Linxi Jim Fan","2026","ICML 2026 theo official repository; proceedings record UNKNOWN","Accepted/venue reported by authors; version read is preprint","2602.06949v1","UNKNOWN","https://arxiv.org/abs/2602.06949","robot manipulation simulator","yes","robot manipulation simulator","human videos then target-robot trajectories","video latent history","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","latent proxy actions pretraining; robot action post-training","conditional video dynamics; distilled autoregressive chunks","future video and task success","~80 s policy-evaluation rollout; >1 min interactive demo","real-vs-sim policy rank/correlation; physical policy steering","DreamDojo-HV; GR-1; AgiBot; G1","policy evaluation and action proposal selection","external policy rank agreement beyond video quality","overestimates absolute success; uncommon actions and multiview limitations","medical simulator must reproduce failures, not only rank","causal short-chunk generation / distilled streaming","seconds","sampling, but no calibrated success probabilities","select proposals using imagined video and external value model","https://github.com/NVIDIA/DreamDojo","full-text §3–4.7 and limitations","§4.7; §5; Table6","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G24","Dyna-style planning with linear function approximation and prioritized sweeping","Richard S. Sutton; Csaba Szepesvári; Alborz Geramifard; Michael Bowling","2008","UAI; PMLR R6:528–536","Published; PMLR reissue 2024","1206.3285","UNKNOWN","https://proceedings.mlr.press/r6/sutton08a.html","model-based reinforcement learning","yes","model-based reinforcement learning","environment features and transitions","linear feature state/model","observed/engineered feature state","environment action","linear model → imagined transitions → value updates","future features/rewards/value","imaginary transition updates; horizon details UNKNOWN","convergence analysis; Mountain Car/Boyan Chain","Mountain Car; Boyan Chain","online value/control learning","mô hình tạo experience để học, có trước pixel world models","feature/state setup khác inference từ ảnh","world model không cần neural visual generator","imaginary model transitions used in value updates","environment steps","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","Dyna-style imagined updates, prioritized sweeping","UNKNOWN","metadata + abstract","Trang nguồn/abstract","Original UAI 2008; arXiv upload 2012; PMLR reissue 2024 không đổi canonical year","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G25","Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning","William Lotter; Gabriel Kreiman; David Cox","2017","ICLR","Published; author lab confirms ICLR 2017","1605.08104v5","UNKNOWN","https://arxiv.org/abs/1605.08104v5","visual predictive representation","no","visual predictive representation","video history","recurrent representations and prediction-error hierarchy","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","none","recurrent frame prediction","future frame; reusable representation","next-frame; extended rollout horizon UNKNOWN in extraction","pixel prediction; object parameter/steering readout","synthetic objects; car-mounted video","unsupervised visual representation","nối prediction và representation usefulness trước frontier gần đây","readout tốt chưa chứng minh simulator/planning","baseline lineage: predictive latent không tự interpretable","recurrent next-frame inference; extended rollout UNKNOWN","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","không có planning được xác minh","https://coxlab.github.io/prednet/","metadata + abstract","Trang nguồn/abstract","ICLR status: https://klab.tch.harvard.edu/resources/lotteretal_prednet.html ; original arXiv 2016, v5 2017","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G26","Revisiting Feature Prediction for Learning Visual Representations from Video","Adrien Bardes; Quentin Garrido; Jean Ponce; Xinlei Chen; Michael Rabbat; Yann LeCun; Mahmoud Assran; Nicolas Ballas","2024","arXiv; peer-reviewed venue UNKNOWN","Preprint verified","2404.08471v1","UNKNOWN","https://arxiv.org/abs/2404.08471v1","representation-centric video prediction","no","representation-centric video prediction","visible video regions","video features","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","none","masked feature prediction","features in masked regions; downstream representations","masked clip context; temporal rollout not established in extraction","frozen image/video task readouts","public video datasets; evaluation Kinetics/SSv2/ImageNet","learn reusable visual representation","feature prediction không cần pixel reconstruction","masking có thể thấy future context; không automatic prefix forecast","tách representation learning khỏi temporal dynamics contract","masked feature prediction; no temporal rollout verified","within clip; actual-time transition UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","không có planning được xác minh","UNKNOWN","metadata + abstract","Trang nguồn/abstract","V-JEPA 2024; không gán ECCV khi proceedings chưa xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"K01","Challenging Common Assumptions in the Unsupervised Learning of Disentangled Representations","Francesco Locatello; Stefan Bauer; Mario Lucic; Gunnar Raetsch; Sylvain Gelly; Bernhard Schölkopf; Olivier Bachem","2019","ICML; PMLR97:4114–4124","Published","UNKNOWN","UNKNOWN","https://proceedings.mlr.press/v97/locatello19a.html","representation identification theory","no","representation identification theory","unsupervised samples","latent factors","latent factors","N/A","N/A: not a dynamics model","N/A","N/A","theoretical identifiability; benchmark study","seven representation datasets","test disentanglement assumptions","inductive biases/supervision necessary under theorem setting","does not prove every medically supervised latent uninterpretable","require external semantics tests","N/A: representation-identifiability paper, not future simulator","N/A: identifiability theory","N/A","N/A","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"K02","Forecasting Treatment Responses Over Time Using Recurrent Marginal Structural Networks","Bryan Lim","2018","NeurIPS31","Published","UNKNOWN","UNKNOWN","https://papers.nips.cc/paper_files/paper/2018/hash/56e6a93212e4482d99c84a639d254b67-Abstract.html","causal longitudinal treatment response","no","causal longitudinal treatment response","longitudinal covariates, treatments, outcomes","recurrent covariate history","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","planned treatment sequence","propensity weighting plus sequence model","treatment-response trajectory","multiple treatment steps","known-effects PK-PD simulation; policy shift","simulated tumor growth","adjust time-dependent confounding","distinguishes prediction from identified intervention","requires assumptions/data, not transferable by adding action input","do not infer do-effect from observational care","weighted recurrent treatment-response prediction","treatment steps","identification distinct from uncertainty","response forecasts, not automatically evaluated treatment policy","UNKNOWN","official abstract + original PDF","time-dependent confounding; causal assumptions and simulation","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M01","Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model","Haojun Jiang; Zhenguo Sun; Ning Jia; Meng Li; Yu Sun; Shaqi Luo; Shiji Song; Gao Huang","2024","MICCAI; LNCS15001:190–199","Published","2406.13165","10.1007/978-3-031-72378-0_18","https://papers.miccai.org/miccai-2024/118-Paper0053.html","B: echocardiography acquisition","yes","Probe-to-target-plane guidance process","Current echocardiographic image/feature and relative probe pose between frame pairs","Current image is called state; learned feature is predictive guidance representation","Latent predictive feature; independent anatomical sufficiency not established","Predicted 6D relative probe movement (3 translation, 3 rotation); demonstration pose is measured","Cardiac Dreamer maps current feature and relative pose to target feature once","Guidance movement toward PLAX, PSAX-AV, or PSAX-MV","One guidance step; no quantitative multi-step rollout","Translation/rotation MAE and standard deviation on 3 standard planes; inference latency","125 scans on expert-operated probe attached to Franka Panda; about 188K pairs; 110/15 train/test unseen individuals","Automatic standard-plane probe guidance","Pose-conditioned predictive feature used for direct 6D guidance","No future image rollout, uncertainty, geometry metric, causal command intervention, or physical closed-loop trial","Close named-medical-WM precedent; broad pose-conditioned guidance novelty is weakened","Single feature prediction from arbitrary frame pair","Frame-pair guidance; exact horizon not a forecast benchmark","Not reported","No; direct one-step target movement","UNKNOWN","canonical MICCAI PDF §2–3 methods/evaluation (round2)","Abstract; author response items1,2,7; code/data N/A; Round2: PDF §§2.1-2.2, 3.1-3.4, Table 1; MICCAI page","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M02","EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance","Yang Yue; Yulin Wang; Haojun Jiang; Pan Liu; Shiji Song; Gao Huang","2025","CVPR","Published","2504.13065v1","10.1109/CVPR52734.2025.02421","https://openaccess.thecvf.com/content/CVPR2025/html/Yue_EchoWorld_Learning_Motion-Aware_World_Models_for_Echocardiography_Probe_Guidance_CVPR_2025_paper.html","B: cardiac view acquisition","yes","Motion-aware probe guidance over image and pose history","History echocardiography frames, measured probe poses and pairwise pose differences","Masked spatial feature plus motion/history tokens; guidance representation","Latent predictive representation; anatomical state sufficiency not independently validated","Predicted probe guidance movement; transition conditioned on measured relative pose, with no established intervention semantics","Spatial mask feature prediction and pairwise image/relative-pose feature prediction with InfoNCE/EMA target encoder","Target-plane feature and guidance translation/rotation","Single-frame and sequential guidance; history N=8; no quantitative multi-step image rollout","Single-frame/sequential translation and rotation MAE; spatial/motion ablations; unvisited-plane sequential setup","356 scans, about 1M frames, 284 train/72 test, 30 fps, healthy adult males, Franka Panda probe; 10 planes annotated","Echocardiography target-plane probe guidance","Combines spatial and motion-aware history for sequential guidance","No calibrated uncertainty, geometry/landmark evaluation, autonomous robot success, or multi-step ground-truth rollout; official README says dataset cannot be publicly released","Strongest close medical precedent; leaves support-aware prefix query and state sufficiency as hypotheses","History token aggregation and one target feature prediction; diffusion decoder only qualitative","30 fps video; scans last minutes; exact forecast horizon not reported as target rollout","Not quantitatively evaluated","Guidance decision from history; no imagined multi-step planning","https://github.com/LeapLabTHU/EchoWorld","full-text §3–5 and appendix; PDF visual inspection p4","§4.1–4.2; sequential protocol; Appendix dataset; Round2: arXiv §§4.1-5.1, Appendix A-B; CVPR PDF Tables 1-2","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above; CVPR DOI 10.1109/CVPR52734.2025.02421 corroborated by Crossref 2026-09-12"
"M03","Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound","Siqi Fan; Mingcong Chen; Ran Liu; Zixuan Yang; Xiaoyu Fu; Xiaoqing Gao; Yunhui Liu; Hongbin Liu","2026","arXiv; peer-reviewed venue UNKNOWN","Preprint","2607.21918v2","UNKNOWN","https://arxiv.org/abs/2607.21918v2","B: robotic neck ultrasound","yes","Partially observable action-dependent goal-plane acquisition","Image history with synchronized 6DoF probe pose and elapsed time","VAE latent state","Latent predictive state; not independently validated as anatomy or contact state","Relative 6DoF probe motion; real robot also has force/torque hardware","Conditional diffusion predicts future latent/frame from context, relative action and time","Future frame/latent and imagined goal-plane reward","Future-frame LPIPS/SSIM at 0.5-30 seconds; actor uses one-step imagined rollout","LPIPS/SSIM, forward-inverse consistency, policy action accuracy and 20-trial real-robot success","Self-collected 20 people; carotid 184 trajectories and thyroid 150; train/test counts and frame totals in Table I","Goal-plane probe guidance with imagined reward and physical robot test","Connects action-conditioned latent transition to imagined policy reward and robot evaluation","ArXiv-only status; private/self-collected data and hardware; acknowledges incomplete separation of contact-induced and physiological dynamics","Shows stronger simulator/planning evidence threshold; cannot be reproduced from TUSREC public schema","Conditional latent diffusion and one-step actor imagination","0.5-30 second forecast metrics; trajectory durations reported separately","Diffusion noise but no calibration/coverage evaluation","Yes; actor scores imagined next latent/reward","UNKNOWN","full-text §II–IV","Fig4; TableI; TableIV; Discussion; Round2: arXiv v2 §§II-A to II-C, III-A to III-D, IV, Tables I-III","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M04","Medical World Model","Yijun Yang; Zhao-Yang Wang; Qiuping Liu; Shuwen Sun; Kang Wang; Rama Chellappa; Zongwei Zhou; Alan Yuille; Lei Zhu; Yu-Dong Zhang; Jieneng Chen","2025","ICCV:8319–8329","Published","2506.02327","UNKNOWN","https://openaccess.thecvf.com/content/ICCV2025/html/Yang_Medical_World_Model_ICCV_2025_paper.html","C: HCC under TACE / MeWM","yes","C: HCC under TACE / MeWM","pre-treatment CT; masks; clinical treatment candidates","CT latent; survival-risk representation","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","TACE drug/embolic protocol condition","conditional post-treatment image generation; survival scorer","post-CT and predicted survival risk","pre→post event; tree search over protocols, not multi-visit validation","image quality; radiologist assessment; retrospective treatment agreement/survival","local HCC-TACE pairs; HCC-TACE-Seg","treatment candidate search","explicit planning interface over generated medical futures","observational agreement does not identify counterfactual treatment benefit","separate computational search from clinical causal utility","protocol-conditioned post-treatment generation + protocol tree search","post-treatment event; actual per-case delay UNKNOWN","generative sampling; calibrated treatment-effect uncertainty UNKNOWN","tree search with predicted survival scorer","https://github.com/scott-yjyang/MeWM","full-text §3 and evaluation/appendix","§3 forward/inverse dynamics; retrospective evaluation","arXiv title adds Generative Simulation of Tumor Evolution for Treatment Planning; ICCV title canonical","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M05","ImageFlowNet: Forecasting Multiscale Image-Level Trajectories of Disease Progression with Irregularly-Sampled Longitudinal Medical Images","Chen Liu; Ke Xu; Liangbo L. Shen; Guillaume Huguet; Zilong Wang; Alexander Tong; Danilo Bzdok; Jay Stewart; Jay C. Wang; Lucian V. Del Priore; Smita Krishnaswamy","2025","ICASSP","Published","2406.14794v6","10.1109/ICASSP49660.2025.10890535","https://doi.org/10.1109/ICASSP49660.2025.10890535","C: retinal/MS/GBM image trajectories","no","Irregularly sampled longitudinal medical image change","Past image(s), elapsed visit time and registration/foreground preprocessing; test-time patient history can adapt the flow field","Multiscale visual latent/flow","Imaging proxy latent; biological/clinical state sufficiency not established","none","ODE/SDE latent flow conditioned on elapsed time","Future image and geometry derived by auxiliary segmentation","Irregular pairwise target queries; METforMIN up to 24 months, MS about 5 years, LUMIERE up to 5 years in source description; free multi-step rollout UNKNOWN","PSNR, SSIM, MAE/MSE, Dice and HD; major/minor atrophy/growth; no calibration/coverage","METforMIN 132 eyes; LMSLS MS 79 series average 4.4 time points; LUMIERE 91 patients and 795 series as reported by paper","Image-level disease progression forecast and derived atrophy/growth comparison","Irregular-time image-level ODE/SDE forecast with history adaptation","Retinal registration anchor/common crop selected using the full longitudinal series; test-time adaptation and SDE spread do not establish prefix safety or calibration; retinal anchor/common crop uses whole series (Appendix D.1); quantitative inflation unmeasured; brain registration must be audited separately","Invalidates broad novelty of irregular continuous-time and patient-adapted medical visual dynamics","Direct target prediction; test-time optimization on past images; stochastic alternative paths","Months to years, modality-dependent","SDE samples with minimal diversity reported; calibration UNKNOWN","none","https://github.com/KrishnaswamyLab/ImageFlowNet","full-text methods/evaluation/Appendix D,F","§5.5–5.6; AppendixD.1/D.3; Đợt 2: arXiv HTML preprocessing, datasets, evaluation and test-time optimization sections","Canonical ICASSP 2025 short version; methods dùng extended arXiv v6. DOI/title/authors corroborated by Duke institutional record and official repository; publisher resolver access error. Crossref DOI metadata matched 2026-09-12.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M06","Treatment-Aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction","Qinghui Liu; Elies Fuster-Garcia; Ivar Thokle Hovden; Bradley J. MacIntosh; Edvard O. S. Grødem; Petter Brandal; Carles Lopez-Mateu; Donatas Sederevičius; Karoline Skogen; Till Schellhorn; Atle Bjørnerud; Kyrre Eeg Emblem","2025","IEEE Transactions on Medical Imaging 44(6):2449–2462","Published","2309.05406v5","10.1109/TMI.2025.3533038","https://doi.org/10.1109/TMI.2025.3533038","C: glioma / TaDiff","no","Glioma MRI/tumor-map evolution under recorded treatment context","Past MRI/masks, time and recorded treatment; test uses the latest three historical MRI exams and duplicates the latest if fewer","Joint MRI/tumor latent with segmentation branch","Predictive imaging proxy; not direct viable-tumor or treatment-mechanism state","Recorded treatment condition; not a validated intervention variable","Treatment/time-conditioned stochastic diffusion","Future MRI and tumor segmentation","One nearest future frame/exam target across treatment/day bins; 2-past→2-future and recursive rollout UNKNOWN","Local: SSIM/PSNR/MSE and tumor DSC/RVD/volume correlation; external LUMIERE: ONLY MRI SSIM/PSNR/MSE, no quantitative tumor-mask validation","Local high-grade glioma treatment cohort; external LUMIERE subset","Forecast under observed treatment context","Joint image and tumor-map stochastic prediction conditioned on time and treatment","Treatment conditioning is not causal identification; only latest-three context to a target, no validated two-future free rollout; external expert-mask ground truth unavailable","Direct adverse prior art for treatment-aware longitudinal glioma imaging","Diffusion sampling at a target time, not demonstrated free-run treatment simulation","Treatment/day bins 0–50, 51–220 and 221–365","Multiple diffusion samples; state calibration UNKNOWN","none","https://github.com/samleoqh/TaDiff-Net","full-text methods; §IV-A/B evaluation","§IV-A 18/5 patient split; external labels; training sampling; Đợt 2: arXiv HTML methods, local/external evaluation and treatment-day analysis; root re-read arXiv v5 §IV-A and §IV-C2","Canonical TMI 2025; arXiv v5 dùng cho methods. DOI metadata corroborated by UPV institutional record and PubMed 40031286; publisher resolver access error. Crossref DOI metadata matched 2026-09-12.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M07","Learning Patient-Specific Disease Dynamics with Latent Flow Matching for Longitudinal Imaging Generation","Hao Chen; Rui Yin; Yifan Chen; Qi Chen; Chao Li","2026","ICLR","Published","2512.09185v4","UNKNOWN","https://openreview.net/pdf/a1558b2e7d9494789fdd3057059dfbe2add8737e.pdf","C: neurodegeneration / Δ-LFM","no","Patient-specific latent trajectory for longitudinal 3D brain MRI","MRI history, visit time and metadata","Ordered patient-specific latent trajectory with ArcRank constraints","Predictive latent imaging proxy; clinical/biological meaning not established","none","Arbitrary-time latent flow matching; progression coordinate is not a physical clock","Future MRI and regional change/Δ-RMAE","Irregular target-time queries; free multi-step rollout and independent state-reuse evaluation UNKNOWN","PSNR/SSIM, structure fidelity, regional MAE and Δ-RMAE with image/structure ablations","ADNI, OASIS-3 and AIBL","Individual future imaging and anatomy-change prediction","Patient-specific latent ordering and arbitrary-time flow","Straight/constant-velocity latent progression assumption; no calibration, planning or state sufficiency; lesion/treatment discontinuities are not resolved","Adverse prior art for patient-specific latent and continuous-time medical image progression","Target-time flow matching and decoding","Longitudinal age/follow-up; exact numeric horizon UNKNOWN","Generative variability; calibration UNKNOWN","none","UNKNOWN","camera-ready metadata; full arXiv methods/evaluation","§3; §4.1; regional-change experiments; Đợt 2: arXiv HTML methods/evaluation; OpenReview camera-ready metadata","v4 2026-06-17; ICLR publication verified in camera-ready header","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M08","Brain Latent Progression: Individual-based spatiotemporal disease progression on 3D Brain MRIs via latent diffusion","Lemuel Puglisi; Daniel C. Alexander; Daniele Ravì","2025","Medical Image Analysis 106:103734","Published","2502.08560v2","10.1016/j.media.2025.103734","https://doi.org/10.1016/j.media.2025.103734","C: brain aging / BrLP","no","Patient-conditioned anatomical change in brain MRI","T1 MRI, metadata and regional-volume auxiliaries depending on variant","Patient-conditioned latent progression plus regional trajectories","Predictive imaging proxy; not validated biological atrophy state","none","Time/metadata-conditioned latent generative progression","Future MRI and regional volumes","Target-age/follow-up generation; internal/external 2-year fast-progressor analysis; free multi-step UNKNOWN","MSE/SSIM, regional MAE and uncertainty-error association; internal 154 and external 165 subjects in 2-year fast-progressor analysis","ADNI, OASIS-3 and AIBL","Personalized image forecast and retrospective fast-progressor stratification","Patient-specific latent progression with regional anatomy auxiliaries and sampled uncertainty","Uncertainty-error association is not calibration/coverage; fast-progressor selection is retrospective; state sufficiency and prefix-only preprocessing are not established","Invalidates broad novelty of patient-specific regional latent state and uncertainty","Latent sample inference and target-time decoding","Years/age-conditioned follow-up","Latent sample variance and global/voxel error association; calibration UNKNOWN","none","https://github.com/LemuelPuglisi/BrLP","full-text methods §4; evaluation §5.6","§4.3–4.6; §5.5–5.7; Đợt 2: arXiv HTML methods, uncertainty evaluation and fast-progressor analysis","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh; Canonical author metadata lists Puglisi, Alexander, Ravì; ADNI/AIBL study-group acknowledgement is not expanded as additional named authors.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M09","Frame forecasting in cine MRI using the PCA respiratory motion model: comparing recurrent neural networks trained online and transformers","Michel Pohl; Mitsuru Uesaka; Hiroyuki Takahashi; Kazuyuki Demachi; Ritu Bhusal Chhatkuli","2026","Computerized Medical Imaging and Graphics 131:102755","Published","2410.05882v3","10.1016/j.compmedimag.2026.102755","https://www.sciencedirect.com/science/article/abs/pii/S0895611126000583","A: respiratory cine-MRI","no","A: respiratory cine-MRI","past images → optical-flow PCA scores","fixed deformation basis + time-varying coefficients/history","inferred geometric DVF coefficients; hidden RNN memory predictive","none","direct horizon-specific weight regression then warp","future DVF and frame","Direct separately fitted targets up to 2.2 s, no recursive free-run","PCA error; geometry; image similarity; simple vs learned baselines","4 ETH sequences + 8 OvGU sequences; not 12 patients","latency compensation","strong PCA+linear/online learned comparison","Sequence-specific PCA fit on prefix; short within-sequence held-out suffix; direct horizons do not measure recursive accumulation","learned dynamics must beat simple state under matched context","separate direct predictor for each horizon; no recursive rollout","0.32 s ETH cadence / 6 Hz OvGU; h≤2.2 s","across-run confidence intervals; not predictive calibration","none","https://github.com/pohl-michel/2D-MR-image-prediction","PDF methods/evaluation; visually inspected Table2","§2.2–2.4; Table2; §2.3.3; Round2 A audit §§2.2–2.3.3/Table2: prefix PCA/direct horizons","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M10","A Latent ODE Approach to Spatiotemporal Modeling of Cine Cardiac MRI","David Brüggemann; Ekaterina Krymova; Firat Özdemir; Jochen von Spiczak; Sebastian Kozerke; Samia Mora; Robert Manka; Mathieu Salzmann; Olga V. Demler","2026","arXiv; venue UNKNOWN","Preprint","2606.26718v1","UNKNOWN","https://arxiv.org/abs/2606.26718","A: cardiac shape dynamics","no","A: cardiac shape dynamics","full-cycle meshes; patient covariates","posterior latent initial condition inferred from full cycle","latent of measured/inferred meshes; not identified biological state","none","phase-aware latent ODE and mesh decoder","reconstructed cycle; risk association","whole observed cardiac cycle; prefix forecast not established","mesh reconstruction; physiological features; HF risk model","UK Biobank; project access not assumed","spatiotemporal representation and risk association","geometry-based temporal representation reuse","full-cycle encoder sees future of a putative prefix task","not evidence of future forecasting despite ODE","whole-cycle encoding then ODE cycle reconstruction","normalized cardiac phase","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","none","UNKNOWN","full-text §3.5, evaluation and AppendixB","§3.5 encoder; downstream Cox analysis","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M11","4D CardioSynth: Synthesising Dynamic Virtual Heart Populations Through Spatiotemporal Disentanglement","Haoran Dou; Jinghan Huang; Arezoo Zakeri; Zherui Zhou; Tingting Mu; Jinming Duan; Alejandro F. Frangi","2025","MICCAI 2025:3–12","Published","UNKNOWN","10.1007/978-3-032-04947-6_1","https://papers.miccai.org/miccai-2025/0004-Paper2701.html","A: virtual cardiac anatomy","no","A: virtual cardiac anatomy","cardiac mesh sequences; ED anatomy","spatial and temporal generative codes","mesh-derived geometric latent","none","generate dynamic deformations","virtual full-cycle cardiac meshes","one modeled cardiac cycle","population generalization/specificity/diversity; shape plausibility","biventricular dynamic shape cohort; exact unit count và public access UNKNOWN","virtual cohorts","anatomical dynamic synthesis","population synthesis does not establish patient-prefix future accuracy","object/anatomy-centric dynamics are prior art","shape-conditioned cycle generation; prefix forecast not established","cardiac cycle","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","Không được xác minh trong phần đã đọc","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh; Crossref: online 2025-09-21, print 2026; canonical conference year giữ 2025.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M12","MRI Contrast Enhancement Kinetics World Model","Jindi Kong; Yuting He; Cong Xia; Rongjun Ge; Shuo Li","2026","CVPR:1288–1299","Published","2602.19285","UNKNOWN","https://openaccess.thecvf.com/content/CVPR2026/html/Kong_MRI_Contrast_Enhancement_Kinetics_World_Model_CVPR_2026_paper.html","A/B: contrast-enhancement dynamics","yes","A/B: contrast-enhancement dynamics","noncontrast image; requested seconds post injection","patient-aligned image latent","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","elapsed time; injection context not arbitrary treatment action","time-conditioned generation; latent spatial/temporal penalties","enhanced image at requested time","up to 300 s private protocol; sparse measured phases","PSNR/SSIM/LPIPS/rMSE; adjacent-frame cSSIM","private abdominal DCE; Duke Breast DCE-MRI","virtual contrast phases","explicit continuous physical-time query","cSSIM rewards static output; smoothness not validated missing-time kinetics","define biological time separately from denoising time","target-time kinetics query; dense output between sparse observations","seconds after injection","generative samples; kinetic confidence calibration UNKNOWN","none","UNKNOWN","full-text §3–4","§3.1; Eq3–4; §4.1.1 cSSIM; Fig6","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
